"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 13 02:46:57 GMT 2020","Tue Oct 13 02:46:57 GMT 2020","1","","Buildin allure for js:","","Buildin allure for js:","Parametrized test with labels | {""first"":1,""second"":""alpha"",""third"":true}","Parametrized test with labels | {""first"":1,""second"":""alpha"",""third"":true}",""
"passed","Tue Oct 13 02:46:57 GMT 2020","Tue Oct 13 02:46:57 GMT 2020","1","","Buildin allure for spec in js:","","Buildin allure for spec in js:","Simple passed test","Simple passed test",""
"failed","Tue Oct 13 02:46:57 GMT 2020","Tue Oct 13 02:46:57 GMT 2020","25","","Buildin allure for spec in js:","","Buildin allure for spec in js:","Simple failed test","Simple failed test",""
"failed","Tue Oct 13 02:46:57 GMT 2020","Tue Oct 13 02:46:57 GMT 2020","0","","Buildin allure for js:","","Buildin allure for js:","Parametrized test with labels | {""first"":2,""second"":""bravo"",""third"":false}","Parametrized test with labels | {""first"":2,""second"":""bravo"",""third"":false}",""
"passed","Tue Oct 13 02:46:57 GMT 2020","Tue Oct 13 02:46:57 GMT 2020","3","","Buildin allure for js-spec:","","Buildin allure for js-spec:","Passed test with labels","Passed test with labels",""
"skipped","Tue Oct 13 02:46:57 GMT 2020","Tue Oct 13 02:46:57 GMT 2020","0","","Buildin allure for js:","","Buildin allure for js:","Parametrized test with labels | {""first"":3,""second"":""charlie""}","Parametrized test with labels | {""first"":3,""second"":""charlie""}",""
